global_idx,mae_MMK,mse_MMK,mae_iTransformer,mse_iTransformer
258,13.875976,603.693115,15.996297,458.187408
259,14.271706,628.649963,16.294201,455.343872
260,13.487579,579.429016,16.902426,448.001709
261,13.502856,578.147278,17.224115,459.728363
262,13.712657,553.272949,16.436083,448.201050
263,13.635224,566.047302,15.856346,431.983154
264,14.421643,584.831604,16.797007,450.223419
265,13.293977,492.797455,16.615679,448.908539
266,12.736917,503.127777,16.152048,438.180328
267,13.130029,530.053284,15.931900,446.536896
268,12.150486,465.546295,16.126940,461.437378
269,12.342128,465.824829,15.777695,434.524902
270,13.687633,544.310974,15.405000,419.168976
271,13.706540,566.606873,14.610237,406.201172
272,12.412028,421.751740,14.136124,419.436279
273,11.826793,400.406036,14.866821,453.957031
274,9.912330,294.068878,14.587742,424.208588
275,9.632792,301.964905,14.055671,374.146973
276,9.223883,278.499969,13.433507,335.691498
277,9.497155,287.696289,13.159943,338.069092
278,9.581306,290.040558,13.415394,346.761017
279,10.038490,321.149445,14.657964,385.847015
280,10.225216,318.049500,16.353609,438.292572
281,10.139987,305.224335,16.647779,449.222412
282,10.844589,324.996399,15.630845,422.205475
283,10.443643,328.130127,15.224029,394.950684
284,10.188456,320.674103,15.565521,400.060028
285,9.907622,311.815186,15.762639,409.475006
286,10.195048,317.410095,15.292729,401.492035
287,10.241287,312.140839,14.628539,374.133575
288,9.758859,295.190521,14.552933,369.955658
289,10.048039,288.863647,14.532083,361.721191
290,10.026553,291.733063,15.052785,368.407623
291,10.130333,297.891022,16.279787,410.596771
292,10.630986,289.650299,16.463543,434.169037
293,9.975325,276.164551,15.585916,401.742828
294,10.122968,286.036621,15.252678,390.102448
295,9.852451,278.530151,14.346250,362.003326
296,10.590026,309.686981,13.362201,354.920868
297,9.708656,255.036270,13.489810,371.201172
298,9.337899,225.783386,14.395943,439.273071
299,10.568608,312.678589,14.735507,482.308014
300,8.767425,206.444016,15.116956,495.438690
301,8.239297,186.641678,15.555722,512.425293
302,9.449078,220.949997,16.066734,541.162231
303,8.283131,180.651932,17.297825,608.908386
304,9.811475,248.807419,17.903708,669.305969
305,8.917514,207.035416,18.240614,700.133484
306,8.642637,205.359665,17.496691,673.684265
307,9.174003,217.036331,18.021109,679.528320
308,9.802601,230.944336,18.703705,712.048828
309,10.280747,243.095093,18.735247,705.586426
310,9.623508,222.167831,18.294313,681.060547
311,10.567801,265.302765,18.755423,685.992615
312,9.744040,224.186401,19.168962,719.520752
313,9.596236,221.644211,17.599281,638.372559
314,8.981816,210.868851,17.754990,661.797852
315,9.710044,230.905075,18.706104,703.672302
316,9.470944,227.481018,19.151550,747.826843
317,11.458050,318.725586,18.708223,713.086975
318,9.910308,253.522202,17.840836,687.086121
319,9.410731,235.583847,18.425749,716.112122
320,9.729198,239.607895,17.561071,674.141418
321,11.594299,349.529694,18.325369,710.834656
322,11.131804,330.632111,17.985247,703.122742
323,11.288169,329.524323,17.940535,659.588318
324,10.233665,289.919525,15.947568,536.462708
325,9.909823,268.530884,15.315654,471.287018
326,10.346931,294.380859,14.771138,435.482025
327,9.529328,253.412415,14.409328,411.618988
328,9.983058,278.062042,14.500247,401.051880
329,9.938540,265.764984,14.821236,424.899384
