global_idx,mae_MMK,mse_MMK,mae_iTransformer,mse_iTransformer
3158,6.452526,139.804565,20.337034,500.258148
3159,6.554960,148.994492,21.851210,570.476990
3160,6.469592,148.288940,22.656118,604.901306
3161,6.482738,143.026871,21.849054,548.997070
3162,6.691549,148.282516,21.044672,498.154572
3163,6.724370,143.861435,20.766777,489.755737
3164,6.870960,145.293076,20.507111,480.856476
3165,6.800522,140.929977,20.451120,473.397797
3166,6.607577,141.870346,20.371744,473.911041
3167,6.739723,140.223907,20.692322,516.965393
3168,6.889674,144.761536,22.017313,575.797241
3169,6.701925,145.360489,20.691439,497.964264
3170,6.716321,141.843170,19.719927,452.242523
3171,6.848570,146.981369,19.207590,433.141968
3172,6.922858,146.551651,19.037958,414.693939
3173,6.897345,146.437057,19.261129,421.166992
3174,7.103363,150.416611,20.109247,461.430908
3175,6.892679,151.545029,20.388498,475.291168
3176,6.802557,150.904495,20.268698,462.584686
3177,7.115283,148.146759,20.303160,462.540619
3178,7.200005,148.209473,20.004770,441.102020
3179,7.427489,162.472595,19.783041,431.413727
3180,7.224567,167.703430,19.264015,412.719330
3181,7.033328,163.353561,19.517427,441.562408
3182,7.306950,171.450821,19.612877,474.314941
3183,7.427057,182.422775,20.104536,519.045593
3184,7.110203,176.630569,21.276823,567.814392
3185,6.996658,159.702637,21.034086,535.227295
3186,6.943388,155.527542,20.786301,499.804291
3187,7.061690,164.673218,20.140503,458.532257
3188,7.154474,166.362076,19.262978,422.034760
3189,6.976881,159.387650,19.018938,404.527679
3190,7.018080,163.459946,18.591234,386.456909
3191,7.182953,160.390549,18.948339,413.294281
3192,7.142382,164.650589,20.162949,460.048218
3193,6.995087,165.658386,18.565203,391.858887
3194,7.680974,179.241928,17.889999,363.964478
3195,7.452525,176.074417,17.679619,354.405365
3196,7.303615,171.360306,17.843199,352.545746
3197,7.530312,178.061478,17.779163,358.916534
3198,7.502707,171.425217,18.201242,370.000000
3199,7.448006,175.170959,18.157221,369.581055
3200,7.691588,185.906494,18.115808,369.283569
3201,7.697543,175.411545,17.940498,355.105713
3202,6.811820,160.127518,17.633348,346.477051
3203,6.274331,140.241486,17.471603,345.583588
3204,6.411749,149.433746,17.463621,346.301727
3205,6.473421,138.438644,18.272474,388.526367
3206,6.553459,135.708542,19.756639,475.789062
3207,6.571447,144.343033,21.147327,564.891296
3208,6.674624,152.126465,21.600847,588.848206
3209,6.717708,148.155014,21.216124,533.327698
3210,6.936483,158.745895,20.973776,498.335785
3211,7.165473,166.006897,20.020042,453.569946
3212,7.054737,159.285416,19.160555,421.600800
3213,7.098947,157.654587,18.988104,406.343170
3214,6.921795,156.987839,18.585615,385.070465
3215,7.009048,153.294937,18.908941,410.651459
3216,6.934554,151.363052,20.364059,478.030365
3217,6.907896,159.905350,19.245092,422.611572
3218,7.095953,155.199295,18.276899,383.718658
3219,6.846609,145.378998,17.696005,358.324982
3220,7.047123,151.227951,17.567015,345.523102
3221,6.895214,149.003082,17.658476,346.312744
3222,6.794324,142.646164,17.897400,357.971924
3223,6.607861,138.129944,18.028059,370.413910
3224,6.852426,150.739868,17.903038,360.575439
3225,7.276967,158.801712,18.303808,376.086517
3226,7.215924,161.660080,18.471468,385.590576
3227,6.870979,159.979660,18.480825,396.376099
3228,6.990369,157.902939,18.624403,403.314453
3229,7.197540,164.288589,19.538074,456.509308
3230,7.594908,174.948532,20.479197,514.282776
3231,7.560384,176.691330,21.777456,599.328430
3232,7.125710,161.967728,22.214483,626.549133
3233,7.303832,166.349075,22.049189,587.142639
3234,7.468279,172.345413,21.116888,516.657471
3235,7.536021,171.378464,19.815744,446.756104
3236,7.458286,168.499435,19.153891,414.902100
3237,7.654519,170.799881,18.817415,397.515259
3238,7.362774,171.255905,18.083807,364.890381
3239,7.445429,170.999756,17.842438,360.065094
3240,7.583755,175.287674,18.656507,397.656158
3241,7.576731,178.444870,18.009785,369.844330
3242,7.902453,181.460373,17.749399,359.220947
3243,7.859083,181.103882,17.689835,351.296234
3244,7.891167,181.564896,17.642750,341.693695
3245,7.859255,177.724686,18.146217,367.545502
3246,7.989484,188.675217,18.868710,404.051422
3247,8.089532,196.734207,18.869787,411.317627
3248,7.838804,188.547134,18.948135,416.424683
3249,7.566572,162.900940,19.275772,423.042847
3250,6.595252,118.511467,18.727882,399.235931
3251,6.002524,103.140602,17.611200,372.694489
3252,5.783161,98.669334,17.829435,399.546234
3253,5.921954,105.339226,18.829287,473.716888
3254,6.164524,106.955360,19.788740,547.446838
3255,5.651792,94.457520,20.149633,588.299072
3256,5.785230,96.296906,20.184782,588.663513
3257,6.386900,119.279396,19.653219,524.470886
3258,6.440528,125.287506,18.582100,448.920074
3259,5.984906,114.500549,18.021137,415.363800
3260,5.978549,97.716652,17.134781,365.378754
3261,6.095376,98.601677,16.710817,344.378204
3262,6.062832,113.573242,16.379272,329.456329
3263,6.664753,131.324844,16.472681,329.630096
3264,6.666753,131.572006,16.444313,334.798920
3265,6.324057,120.945320,15.763356,306.193726
3266,6.647939,121.261375,15.797292,302.961426
3267,7.102422,131.201004,16.057413,314.872345
3268,7.341044,137.937454,16.485174,342.060394
3269,6.749079,121.604164,17.271070,387.310944
3270,6.775034,130.717377,18.099762,437.430511
3271,6.171955,114.168114,18.459574,462.777740
3272,6.528650,121.243164,18.289680,457.635132
3273,7.129241,145.171204,18.011213,444.340912
3274,6.299419,133.351929,17.426783,419.329437
3275,6.633421,144.150131,17.190542,416.487793
3276,6.064089,107.386909,17.742098,442.645966
3277,6.235062,115.246605,18.789604,483.281647
3278,5.547525,91.222374,19.729486,545.270813
3279,4.808317,65.077965,20.783115,612.773987
3280,3.945954,41.658398,20.929688,607.716492
3281,4.955612,55.785156,20.109442,516.881531
3282,4.306570,45.851089,19.426443,463.370605
3283,4.950313,67.448975,18.649691,429.585938
3284,5.094158,72.207237,16.850052,353.189789
3285,5.285586,76.393623,16.724579,342.145752
3286,5.342047,79.939209,16.753227,339.602875
3287,5.924600,95.436340,17.056183,350.295135
3288,6.043841,104.482643,17.434570,373.906738
3289,5.862643,100.855095,16.641272,335.996460
3290,6.062237,107.245171,15.794788,301.093536
3291,6.054348,103.324196,15.799989,302.318359
3292,6.941561,129.219009,16.388481,333.747833
3293,6.326452,118.022705,17.042500,367.201874
3294,6.690071,132.398270,17.943563,416.747650
